|match_id|player|possession_team|shot_end_location|possession_team_id|location|minute|location_x|location_y|z|x|y|match|competition_stage|score
62|7530|Antoine Griezmann|France|[119.0, 43.8, 1.4]|771.0|[108.0, 40.0]|57.0|108.0|40.0|119.0|43.8|1.4|France vs Australia|Group Stage|2-1
63|7530|Mile Jedinak|Australia|[120.0, 42.0, 0.2]|792.0|[109.0, 41.0]|61.0|109.0|41.0|120.0|42.0|0.2|France vs Australia|Group Stage|2-1
64|7558|Luis Alberto Suárez Díaz|Uruguay|[119.0, 44.0, 0.7]|783.0|[101.0, 36.0]|9.0|101.0|36.0|119.0|44.0|0.7|Uruguay vs Russia|Group Stage|3-0
65|7558|Edinson Roberto Cavani Gómez|Uruguay|[120.0, 37.2, 1.4]|783.0|[119.0, 39.0]|89.0|119.0|39.0|120.0|37.2|1.4|Uruguay vs Russia|Group Stage|3-0
66|7583|Neymar da Silva Santos Junior|Brazil|[120.0, 40.1, 0.5]|781.0|[119.0, 43.0]|50.0|119.0|43.0|120.0|40.1|0.5|Brazil vs Mexico|Round of 16|2-0
67|7583|Roberto Firmino Barbosa de Oliveira|Brazil|[120.0, 40.3, 0.9]|781.0|[119.0, 43.0]|87.0|119.0|43.0|120.0|40.3|0.9|Brazil vs Mexico|Round of 16|2-0
68|7547|Christian Dannemann Eriksen|Denmark|[120.0, 37.8, 2.5]|776.0|[104.0, 39.0]|6.0|104.0|39.0|120.0|37.8|2.5|Denmark vs Australia|Group Stage|1-1
69|7547|Mile Jedinak|Australia|[120.0, 42.4, 0.2]|792.0|[109.0, 41.0]|37.0|109.0|41.0|120.0|42.4|0.2|Denmark vs Australia|Group Stage|1-1
70|7535|Aleksandar Kolarov|Serbia|[120.0, 44.0, 1.5]|786.0|[94.0, 59.0]|55.0|94.0|59.0|120.0|44.0|1.5|Costa Rica vs Serbia|Group Stage|0-1
71|7584|Genki Haraguchi|Japan|[120.0, 36.4, 0.6]|778.0|[109.0, 54.0]|47.0|109.0|54.0|120.0|36.4|0.6|Belgium vs Japan|Round of 16|3-2
